year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2011,5,2,1967,2,0,2,44
2011,5,2,1967,2,0,2,44
2011,5,2,1967,2,0,2,44
2011,5,2,1967,2,0,2,44
2011,5,2,1967,2,0,2,44
2011,5,2,1967,2,0,2,44
2012,5,2,1967,2,0,2,44
2012,5,2,1967,2,0,2,44
2012,5,2,1967,2,0,2,44
2012,5,2,1967,2,0,2,44
2012,5,2,1967,2,0,2,44
2012,5,2,1967,2,0,2,44
2013,5,2,1967,2,0,2,92
2013,5,2,1967,2,0,2,92
2013,5,2,1967,2,0,2,92
2013,5,2,1967,2,0,2,92
2013,5,2,1967,2,0,2,92
2013,5,2,1967,2,0,2,92
2014,5,2,1967,2,0,2,92
2014,5,2,1967,2,0,2,92
2014,5,2,1967,2,0,2,92
2014,5,2,1967,2,0,2,92
2014,5,2,1967,2,0,2,92
2014,5,2,1967,2,0,2,92
2015,5,2,1967,2,0,2,92
2015,5,2,1967,2,0,2,92
2015,5,2,1967,2,0,2,92
2015,5,2,1967,2,0,2,92
2015,5,2,1967,2,0,2,92
2015,5,2,1967,2,0,2,92
2016,5,2,1967,2,0,2,92
2016,5,2,1967,2,0,2,92
2016,5,2,1967,2,0,2,92
2016,5,2,1967,2,0,2,92
2016,5,2,1967,2,0,2,92
2016,5,2,1967,2,0,2,92
2017,5,2,1967,2,0,2,92
2017,5,2,1967,2,0,2,92
2017,5,2,1967,2,0,2,92
2017,5,2,1967,2,0,2,92
2017,5,2,1967,2,0,2,92
2017,5,2,1967,2,0,2,92
2018,5,2,1967,2,0,2,92
2018,5,2,1967,2,0,2,92
2018,5,2,1967,2,0,2,92
2018,5,2,1967,2,0,2,92
2018,5,2,1967,2,0,2,92
2018,5,2,1967,2,0,2,92
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2012,5,2,1959,1,0,2,44
2012,5,2,1959,1,0,2,44
2012,5,2,1959,1,0,2,44
2012,5,2,1959,1,0,2,44
2012,5,2,1959,1,0,2,44
2012,5,2,1959,1,0,2,44
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2016,5,2,1959,1,0,2,91
2016,5,2,1959,1,0,2,91
2016,5,2,1959,1,0,2,91
2016,5,2,1959,1,0,2,91
2016,5,2,1959,1,0,2,91
2016,5,2,1959,1,0,2,91
2017,5,2,1959,1,0,2,99
2017,5,2,1959,1,0,2,99
2017,5,2,1959,1,0,2,99
2017,5,2,1959,1,0,2,99
2017,5,2,1959,1,0,2,99
2017,5,2,1959,1,0,2,99
2018,4,2,1959,1,0,2,99
2018,4,2,1959,1,0,2,99
2018,4,2,1959,1,0,2,99
2018,4,2,1959,1,0,2,99
2018,4,2,1959,1,0,2,99
2018,4,2,1959,1,0,2,99
2016,2,2,1994,2,0,2,24
2016,2,2,1994,2,0,2,24
2016,2,2,1994,2,0,2,24
2016,2,2,1994,2,0,2,24
2016,2,2,1994,2,0,2,24
2016,2,2,1994,2,0,2,24
2017,2,2,1994,2,0,2,24
2017,2,2,1994,2,0,2,24
2017,2,2,1994,2,0,2,24
2017,2,2,1994,2,0,2,24
2017,2,2,1994,2,0,2,24
2017,2,2,1994,2,0,2,24
2018,2,2,1994,2,0,2,24
2018,2,2,1994,2,0,2,24
2018,2,2,1994,2,0,2,24
2018,2,2,1994,2,0,2,24
2018,2,2,1994,2,0,2,24
2018,2,2,1994,2,0,2,24
2012,2,2,1960,1,0,2,93
2012,2,2,1960,1,0,2,93
2012,2,2,1960,1,0,2,93
2012,2,2,1960,1,0,2,93
2012,2,2,1960,1,0,2,93
2012,2,2,1960,1,0,2,93
2013,2,2,1960,1,0,2,94
2013,2,2,1960,1,0,2,94
2013,2,2,1960,1,0,2,94
2013,2,2,1960,1,0,2,94
2013,2,2,1960,1,0,2,94
2013,2,2,1960,1,0,2,94
2014,2,2,1960,1,0,2,94
2014,2,2,1960,1,0,2,94
2014,2,2,1960,1,0,2,94
2014,2,2,1960,1,0,2,94
2014,2,2,1960,1,0,2,94
2014,2,2,1960,1,0,2,94
2011,1,2,1962,2,1,2,42
2011,1,2,1962,2,1,2,42
2011,1,2,1962,2,1,2,42
2011,1,2,1962,2,1,2,42
2011,1,2,1962,2,1,2,42
2011,1,2,1962,2,1,2,42
2012,1,2,1962,2,1,3,42
2012,1,2,1962,2,1,3,42
2012,1,2,1962,2,1,3,42
2012,1,2,1962,2,1,3,42
2012,1,2,1962,2,1,3,42
2012,1,2,1962,2,1,3,42
2013,1,2,1962,2,1,2,42
2013,1,2,1962,2,1,2,42
2013,1,2,1962,2,1,2,42
2013,1,2,1962,2,1,2,42
2013,1,2,1962,2,1,2,42
2013,1,2,1962,2,1,2,42
2014,1,2,1962,2,1,3,42
2014,1,2,1962,2,1,3,42
2014,1,2,1962,2,1,3,42
2014,1,2,1962,2,1,3,42
2014,1,2,1962,2,1,3,42
2014,1,2,1962,2,1,3,42
2011,6,2,1985,2,0,2,24
2011,6,2,1985,2,0,2,24
2011,6,2,1985,2,0,2,24
2011,6,2,1985,2,0,2,24
2011,6,2,1985,2,0,2,24
2011,6,2,1985,2,0,2,24
2012,6,2,1985,2,0,3,24
2012,6,2,1985,2,0,3,24
2012,6,2,1985,2,0,3,24
2012,6,2,1985,2,0,3,24
2012,6,2,1985,2,0,3,24
2012,6,2,1985,2,0,3,24
2013,6,2,1985,2,0,3,24
2013,6,2,1985,2,0,3,24
2013,6,2,1985,2,0,3,24
2013,6,2,1985,2,0,3,24
2013,6,2,1985,2,0,3,24
2013,6,2,1985,2,0,3,24
2014,6,2,1985,2,0,2,24
2014,6,2,1985,2,0,2,24
2014,6,2,1985,2,0,2,24
2014,6,2,1985,2,0,2,24
2014,6,2,1985,2,0,2,24
2014,6,2,1985,2,0,2,24
2015,6,2,1985,2,0,2,24
2015,6,2,1985,2,0,2,24
2015,6,2,1985,2,0,2,24
2015,6,2,1985,2,0,2,24
2015,6,2,1985,2,0,2,24
2015,6,2,1985,2,0,2,24
2016,6,2,1985,2,0,2,24
2016,6,2,1985,2,0,2,24
2016,6,2,1985,2,0,2,24
2016,6,2,1985,2,0,2,24
2016,6,2,1985,2,0,2,24
2016,6,2,1985,2,0,2,24
2017,6,2,1985,2,0,2,24
2017,6,2,1985,2,0,2,24
2017,6,2,1985,2,0,2,24
2017,6,2,1985,2,0,2,24
2017,6,2,1985,2,0,2,24
2017,6,2,1985,2,0,2,24
2018,6,2,1985,2,0,2,24
2018,6,2,1985,2,0,2,24
2018,6,2,1985,2,0,2,24
2018,6,2,1985,2,0,2,24
2018,6,2,1985,2,0,2,24
2018,6,2,1985,2,0,2,24
2017,2,2,1987,2,0,2,31
2017,2,2,1987,2,0,2,31
2017,2,2,1987,2,0,2,31
2017,2,2,1987,2,0,2,31
2017,2,2,1987,2,0,2,31
2017,2,2,1987,2,0,2,31
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2017,6,2,1967,2,0,3,93
2017,6,2,1967,2,0,3,93
2017,6,2,1967,2,0,3,93
2017,6,2,1967,2,0,3,93
2017,6,2,1967,2,0,3,93
2017,6,2,1967,2,0,3,93
2018,6,2,1967,2,0,4,93
2018,6,2,1967,2,0,4,93
2018,6,2,1967,2,0,4,93
2018,6,2,1967,2,0,4,93
2018,6,2,1967,2,0,4,93
2018,6,2,1967,2,0,4,93
2013,5,2,1959,2,0,2,95
2013,5,2,1959,2,0,2,95
2013,5,2,1959,2,0,2,95
2013,5,2,1959,2,0,2,95
2013,5,2,1959,2,0,2,95
2013,5,2,1959,2,0,2,95
2014,5,2,1959,2,0,3,95
2014,5,2,1959,2,0,3,95
2014,5,2,1959,2,0,3,95
2014,5,2,1959,2,0,3,95
2014,5,2,1959,2,0,3,95
2014,5,2,1959,2,0,3,95
2015,5,2,1959,2,0,2,95
2015,5,2,1959,2,0,2,95
2015,5,2,1959,2,0,2,95
2015,5,2,1959,2,0,2,95
2015,5,2,1959,2,0,2,95
2015,5,2,1959,2,0,2,95
2016,5,2,1959,2,0,3,95
2016,5,2,1959,2,0,3,95
2016,5,2,1959,2,0,3,95
2016,5,2,1959,2,0,3,95
2016,5,2,1959,2,0,3,95
2016,5,2,1959,2,0,3,95
2017,5,2,1959,2,0,3,95
2017,5,2,1959,2,0,3,95
2017,5,2,1959,2,0,3,95
2017,5,2,1959,2,0,3,95
2017,5,2,1959,2,0,3,95
2017,5,2,1959,2,0,3,95
2018,5,2,1959,2,0,2,95
2018,5,2,1959,2,0,2,95
2018,5,2,1959,2,0,2,95
2018,5,2,1959,2,0,2,95
2018,5,2,1959,2,0,2,95
2018,5,2,1959,2,0,2,95
2018,6,2,1960,2,0,2,95
2018,6,2,1960,2,0,2,95
2018,6,2,1960,2,0,2,95
2018,6,2,1960,2,0,2,95
2018,6,2,1960,2,0,2,95
2018,6,2,1960,2,0,2,95
2014,5,2,1990,2,0,2,83
2014,5,2,1990,2,0,2,83
2014,5,2,1990,2,0,2,83
2014,5,2,1990,2,0,2,83
2014,5,2,1990,2,0,2,83
2014,5,2,1990,2,0,2,83
2015,5,2,1990,2,0,2,24
2015,5,2,1990,2,0,2,24
2015,5,2,1990,2,0,2,24
2015,5,2,1990,2,0,2,24
2015,5,2,1990,2,0,2,24
2015,5,2,1990,2,0,2,24
2016,5,2,1990,2,0,2,24
2016,5,2,1990,2,0,2,24
2016,5,2,1990,2,0,2,24
2016,5,2,1990,2,0,2,24
2016,5,2,1990,2,0,2,24
2016,5,2,1990,2,0,2,24
2017,5,2,1990,2,0,2,24
2017,5,2,1990,2,0,2,24
2017,5,2,1990,2,0,2,24
2017,5,2,1990,2,0,2,24
2017,5,2,1990,2,0,2,24
2017,5,2,1990,2,0,2,24
2011,2,2,1960,2,0,2,94
2011,2,2,1960,2,0,2,94
2011,2,2,1960,2,0,2,94
2011,2,2,1960,2,0,2,94
2011,2,2,1960,2,0,2,94
2011,2,2,1960,2,0,2,94
2012,2,2,1960,2,0,2,94
2012,2,2,1960,2,0,2,94
2012,2,2,1960,2,0,2,94
2012,2,2,1960,2,0,2,94
2012,2,2,1960,2,0,2,94
2012,2,2,1960,2,0,2,94
2013,2,2,1960,2,0,2,94
2013,2,2,1960,2,0,2,94
2013,2,2,1960,2,0,2,94
2013,2,2,1960,2,0,2,94
2013,2,2,1960,2,0,2,94
2013,2,2,1960,2,0,2,94
2014,2,2,1960,2,0,2,94
2014,2,2,1960,2,0,2,94
2014,2,2,1960,2,0,2,94
2014,2,2,1960,2,0,2,94
2014,2,2,1960,2,0,2,94
2014,2,2,1960,2,0,2,94
2015,2,2,1960,2,0,2,94
2015,2,2,1960,2,0,2,94
2015,2,2,1960,2,0,2,94
2015,2,2,1960,2,0,2,94
2015,2,2,1960,2,0,2,94
2015,2,2,1960,2,0,2,94
2016,2,2,1960,2,0,2,94
2016,2,2,1960,2,0,2,94
2016,2,2,1960,2,0,2,94
2016,2,2,1960,2,0,2,94
2016,2,2,1960,2,0,2,94
2016,2,2,1960,2,0,2,94
2017,2,2,1960,2,0,2,94
2017,2,2,1960,2,0,2,94
2017,2,2,1960,2,0,2,94
2017,2,2,1960,2,0,2,94
2017,2,2,1960,2,0,2,94
2017,2,2,1960,2,0,2,94
2018,2,2,1960,2,0,2,94
2018,2,2,1960,2,0,2,94
2018,2,2,1960,2,0,2,94
2018,2,2,1960,2,0,2,94
2018,2,2,1960,2,0,2,94
2018,2,2,1960,2,0,2,94
2011,6,2,1975,2,0,2,86
2011,6,2,1975,2,0,2,86
2011,6,2,1975,2,0,2,86
2011,6,2,1975,2,0,2,86
2011,6,2,1975,2,0,2,86
2011,6,2,1975,2,0,2,86
2012,6,2,1975,2,0,2,86
2012,6,2,1975,2,0,2,86
2012,6,2,1975,2,0,2,86
2012,6,2,1975,2,0,2,86
2012,6,2,1975,2,0,2,86
2012,6,2,1975,2,0,2,86
2013,6,2,1975,2,0,2,86
2013,6,2,1975,2,0,2,86
2013,6,2,1975,2,0,2,86
2013,6,2,1975,2,0,2,86
2013,6,2,1975,2,0,2,86
2013,6,2,1975,2,0,2,86
2012,6,2,1986,3,0,2,25
2012,6,2,1986,3,0,2,25
2012,6,2,1986,3,0,2,25
2012,6,2,1986,3,0,2,25
2012,6,2,1986,3,0,2,25
2012,6,2,1986,3,0,2,25
2013,6,2,1986,3,0,2,25
2013,6,2,1986,3,0,2,25
2013,6,2,1986,3,0,2,25
2013,6,2,1986,3,0,2,25
2013,6,2,1986,3,0,2,25
2013,6,2,1986,3,0,2,25
2016,6,2,1986,3,0,2,25
2016,6,2,1986,3,0,2,25
2016,6,2,1986,3,0,2,25
2016,6,2,1986,3,0,2,25
2016,6,2,1986,3,0,2,25
2016,6,2,1986,3,0,2,25
2017,6,2,1986,3,0,2,25
2017,6,2,1986,3,0,2,25
2017,6,2,1986,3,0,2,25
2017,6,2,1986,3,0,2,25
2017,6,2,1986,3,0,2,25
2017,6,2,1986,3,0,2,25
2018,6,2,1986,3,0,3,25
2018,6,2,1986,3,0,3,25
2018,6,2,1986,3,0,3,25
2018,6,2,1986,3,0,3,25
2018,6,2,1986,3,0,3,25
2018,6,2,1986,3,0,3,25
2016,5,2,1993,2,0,2,41
2016,5,2,1993,2,0,2,41
2016,5,2,1993,2,0,2,41
2016,5,2,1993,2,0,2,41
2016,5,2,1993,2,0,2,41
2016,5,2,1993,2,0,2,41
